,step,time,holdings,price,n_k,rate,step_cost,cumulative_cost
22,22,0.22,1548.3653492525702,49.844221165713236,322.97130179255646,32297.130179255644,26.228712453964686,237421.82761530444
23,23,0.23,1281.1352000331094,49.84820605045721,267.2301492194608,26723.014921946084,17.95643063879558,237439.78404594323
24,24,0.24,1060.0259180148382,49.7626658819639,221.1092820182712,22110.92820182712,12.29314636972076,237452.07719231295
25,25,0.25,877.0775690451034,49.72995718140515,182.94834896973487,18294.834896973487,8.41600709557946,237460.49319940852
26,26,0.26,725.7040125609906,49.736574693398616,151.37355648411278,15137.355648411278,5.761679988396921,237466.2548793969
27,27,0.27,600.4558005290738,49.667483766700265,125.24821203191675,12524.821203191676,3.9445019368074075,237470.19938133372
28,28,0.28,496.8239973162048,49.68999973985021,103.63180321286904,10363.180321286904,2.7004442386273175,237472.89982557236
29,29,0.29,411.0778580067182,49.65393998192025,85.74613930948658,8574.613930948657,1.8487502865420127,237474.7485758589
30,30,0.3,340.1305215854743,49.636420620098555,70.9473364212439,7094.73364212439,1.265672356089122,237476.01424821498
31,31,0.31,281.4278839413068,49.60030354770538,58.70263764416751,5870.263764416751,0.8664915562856965,237476.88073977127
32,32,0.32,232.85665011902694,49.711428095967456,48.57123382227985,4857.123382227985,0.5932085136434012,237477.4739482849
33,33,0.33,192.6682557010316,49.710608215384575,40.18839441799534,4018.839441799534,0.4061162951985489,237477.8800645801
34,34,0.34,159.41591848827375,49.64713724656292,33.25233721275785,3325.2337212757852,0.2780311499799313,237478.15809573006
35,35,0.35000000000000003,131.9025543410935,49.69648306294807,27.513364147180255,2751.3364147180255,0.19034281872789224,237478.3484385488
36,36,0.36,109.13768215019302,49.62322675273176,22.764872190900476,2276.487219090048,0.13031053766481557,237478.47874908647
37,37,0.37,90.3017665166991,49.63575385945314,18.83591563349391,1883.5915633493912,0.08921185648137912,237478.56796094295
38,38,0.38,74.71671447780636,49.51816975575734,15.58505203889274,1558.505203889274,0.06107530119634037,237478.62903624415
39,39,0.39,61.82146416011479,49.43847536901086,12.89525031769157,1289.525031769157,0.04181274287300784,237478.67084898704
40,40,0.4,51.15178655218726,49.45028437574361,10.669677607927532,1066.9677607927533,0.028625408837237167,237478.69947439586
41,41,0.41000000000000003,42.323573260138545,49.49459016349001,8.828213292048716,882.8213292048715,0.019597232202964422,237478.71907162806
42,42,0.42,35.01900860545482,49.504870434220244,7.304564654683723,730.4564654683724,0.01341645501793767,237478.73248808307
43,43,0.43,28.975128260567452,49.49793002630686,6.04388034488737,604.3880344887369,0.009185035080280957,237478.74167311814
44,44,0.44,23.974352533060465,49.47986255437757,5.000775727506987,500.0775727506987,0.006288163998732472,237478.74796128215
45,45,0.45,19.8366534967437,49.39115020053077,4.137699036316764,413.7699036316764,0.004304937992627261,237478.75226622014
46,46,0.46,16.41307398630967,49.34795869213221,3.423579510434031,342.3579510434031,0.0029472022561826882,237478.75521342238
47,47,0.47000000000000003,13.58036513938282,49.32031965769741,2.832708846926849,283.2708846926849,0.0020176832178359803,237478.75723110558
48,48,0.48,11.236549437473728,49.38374640531662,2.343815701909092,234.3815701909092,0.0013813254793917384,237478.75861243106
49,49,0.49,9.297249515313709,49.40436301786575,1.9392999221600196,193.92999221600195,0.0009456688068848245,237478.75955809987
50,50,0.5,7.692650575704967,49.29858020739425,1.6045989396087421,160.4598939608742,0.0006474140284267625,237478.7602055139
51,51,0.51,6.36498705682161,49.31802491364206,1.327663518883357,132.7663518883357,0.00044322591772665465,237478.76064873984
52,52,0.52,5.26646307198384,49.294919702186085,1.0985239848377697,109.85239848377697,0.0003034367590522383,237478.7609521766
53,53,0.53,4.35753175773748,49.25430415493489,0.9089313142463604,90.89313142463604,0.00020773574680476605,237478.76115991236
54,54,0.54,3.605471586769678,49.2910045442503,0.7520601709678019,75.20601709678019,0.00014221790670871027,237478.76130213027
