,step,time,holdings,price,n_k,rate,step_cost,cumulative_cost
23,23,0.23,10.731468310630614,49.12757446058161,5.236114770883109,523.611477088311,0.0068751264978721745,491785.4773507636
24,24,0.24,7.212388469448411,48.55767430632627,3.5190798411822035,351.9079841182203,0.003105421955603297,491785.4804561856
25,25,0.25,4.8472907833779555,48.339920625241774,2.365097686070455,236.50976860704552,0.0014026862669839887,491785.4818588719
26,26,0.26,3.2577596226479772,48.38428926374293,1.5895311607299782,158.95311607299783,0.0006335785576692227,491785.48249245045
27,27,0.27,2.189470001541678,47.9238915657016,1.0682896211062993,106.82896211062993,0.0002861807363390937,491785.4827786312
28,28,0.28,1.4714955806820478,48.07417059354627,0.7179744208596301,71.79744208596301,0.00012926481311626695,491785.48290789605
29,29,0.29,0.9889604527315461,47.83391499694497,0.4825351279505017,48.25351279505017,5.838754950362752e-05,491785.48296628357
30,30,0.3,0.6646589972180926,47.7172374159523,0.32430145551345346,32.43014555134535,2.6373038840602633e-05,491785.4829926566
31,31,0.31,0.4467029812595344,47.476554716571535,0.21795601595855824,21.795601595855825,1.191242282988299e-05,491785.483004569
32,32,0.32,0.3002194423025019,48.21746595375423,0.14648353895703248,14.648353895703247,5.380715454733501e-06,491785.48300994973
33,33,0.33,0.20177101411386988,48.212067039246946,0.09844842818863203,9.844842818863203,2.4304122862546473e-06,491785.48301238014
34,34,0.34,0.13560594818345764,47.78898265112332,0.06616506593041224,6.616506593041224,1.0977915355068723e-06,491785.48301347793
35,35,0.35000000000000003,0.09113783396239798,48.118000604847566,0.04446811422105966,4.446811422105966,4.958608307925214e-07,491785.4830139738
36,36,0.36,0.061251773175322266,47.629663137387645,0.029886060787075716,2.9886060787075714,2.2397509505364682e-07,491785.4830141978
37,37,0.37,0.04116599609629783,47.7132085703681,0.02008577707902444,2.008577707902444,1.011671825824895e-07,491785.48301429895
38,38,0.38,0.027666778392681068,46.92934051744139,0.01349921770361676,1.349921770361676,4.569614683823258e-08,491785.48301434465
39,39,0.39,0.018594245231893302,46.398066095613885,0.009072533160787766,0.9072533160787766,2.0640466429503357e-08,491785.4830143653
40,40,0.4,0.012496791308208475,46.476810588437175,0.0060974539236848275,0.6097453923684827,9.323080476251665e-09,491785.4830143746
41,41,0.41000000000000003,0.008398823993837009,46.77219721941085,0.004097967314371466,0.40979673143714657,4.2111368879931105e-09,491785.4830143788
42,42,0.42,0.00564466851847951,46.8407445311983,0.0027541554753574993,0.2754155475357499,1.9021260123827208e-09,491785.48301438073
43,43,0.43,0.003793660006078676,46.79448521778025,0.0018510085124008335,0.18510085124008335,8.591702106144334e-10,491785.4830143816
44,44,0.44,0.002549637094650433,46.674043739233525,0.0012440229114282432,0.12440229114282432,3.880781010310334e-10,491785.483014382
45,45,0.45,0.0017135561183662606,46.08263494287753,0.0008360809762841723,0.08360809762841723,1.752907754938901e-10,491785.4830143822
46,46,0.46,0.001151644121020691,45.79469725937917,0.0005619119973455696,0.05619119973455696,7.91769901254806e-11,491785.48301438225
47,47,0.47000000000000003,0.0007739951830384326,45.61044175090085,0.00037764893798225834,0.03776489379822583,3.576340938459115e-11,491785.4830143823
48,48,0.48,0.0005201854743423238,46.03329064132496,0.00025380970869610876,0.025380970869610876,1.6153953930085695e-11,491785.4830143823
49,49,0.49,0.0003496054415409872,46.1707379571097,0.0001705800328013366,0.01705800328013366,7.296570211445292e-12,491785.4830143823
50,50,0.5,0.0002349622793862088,45.46552189493595,0.00011464316215477842,0.011464316215477843,3.295783625542899e-12,491785.4830143823
51,51,0.51,0.0001579130819332239,45.5951554826746,7.704919745298488e-05,0.007704919745298488,1.488670620801871e-12,491785.4830143823
52,52,0.52,0.00010612997758955495,45.441122570495125,5.178310434366896e-05,0.005178310434366896,6.724167812665714e-13,491785.4830143823
